Series 1: 
0,2001.50602409639,1030.12048192771
1,2109.93975903614,1143.07228915663
2,2204.81927710843,1364.4578313253
3,2281.6265060241,1549.69879518072
4,2259.03614457831,1775.60240963855
5,2182.22891566265,2141.56626506024
6,2046.68674698795,2503.01204819277
7,1897.59036144578,2774.09638554217
8,1689.75903614458,2909.63855421687
9,1463.85542168675,2918.67469879518
10,1260.5421686747,2774.09638554217
11,1030.12048192771,2575.30120481928
12,799.698795180723,2390.06024096386
13,637.048192771084,2245.48192771084
14,501.506024096386,2060.24096385542
15,469.879518072289,1870.48192771084
16,515.060240963855,1658.13253012048
17,618.975903614458,1463.85542168675
18,750,1328.31325301205
19,944.277108433735,1201.80722891566
20,1088.85542168675,1138.55421686747
21,1283.13253012048,1174.69879518072
22,1490.96385542169,1269.57831325301
23,1617.46987951807,1472.89156626506
24,1680.72289156626,1626.50602409639
25,1649.09638554217,1784.63855421687
26,1554.21686746988,2146.0843373494
